Date,Time,Pid,Level,Component,Content,BlockId,EventId,EventTemplate
081109,170004,143,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/data/blk_1000000000.txt blk_1000000000,blk_1000000000,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
081109,170005,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1000000000 src: /10.251.71.18:54106 dest: /10.251.71.18:50010,blk_1000000000,E1,Receiving block <*> src: <*> dest: <*>
081109,170008,143,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_1000000000 terminating,blk_1000000000,E3,PacketResponder <*> for block <*> terminating
081109,170010,143,INFO,dfs.DataNode$PacketResponder,Received block blk_1000000000 of size 134217728 from /10.251.71.18,blk_1000000000,E4,Received block <*> of size <*> from <*>
081109,170011,143,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.19.102:50010 is added to blk_1000000000 size 134217728,blk_1000000000,E5,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
081109,170014,143,ERROR,dfs.DataNode$BlockReceiver,Verification failed for block blk_1000000000,blk_1000000000,E18,Verification failed for block <*>
081109,170016,143,ERROR,dfs.DataNode$BlockReceiver,Checksum error while reading block blk_1000000000 at offset 4096,blk_1000000000,E24,Checksum error while reading block <*> at offset <*>
081109,170019,143,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/data/blk_1000000001.txt blk_1000000001,blk_1000000001,E2,BLOCK* NameSystem.allocateBlock: <*> <*>
081109,170022,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1000000001 src: /10.251.111.204:54106 dest: /10.250.14.224:50010,blk_1000000001,E1,Receiving block <*> src: <*> dest: <*>
081109,170023,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1000000001 src: /10.251.111.204:54106 dest: /10.250.14.224:50010,blk_1000000001,E1,Receiving block <*> src: <*> dest: <*>
081109,170024,143,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_1000000001 terminating,blk_1000000001,E3,PacketResponder <*> for block <*> terminating
081109,170025,143,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_1000000001 terminating,blk_1000000001,E3,PacketResponder <*> for block <*> terminating
081109,170028,143,INFO,dfs.DataNode$PacketResponder,Received block blk_1000000001 of size 268435456 from /10.251.111.204,blk_1000000001,E4,Received block <*> of size <*> from <*>
081109,170032,143,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_1000000001 size 268435456,blk_1000000001,E5,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
081109,170035,143,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.19.102:50010 is added to blk_1000000001 size 268435456,blk_1000000001,E5,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
